ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.3704,LeBron,James,SF,LAL,PHO,LAL@PHO,10:00PM EDT,43,47.0," "," "
nba.p.4300,Jared,Dudley,SF,LAL,PHO,LAL@PHO,10:00PM EDT,10,3.6," "," "
nba.p.4325,Marc,Gasol,C,LAL,PHO,LAL@PHO,10:00PM EDT,12,17.2," "," "
nba.p.4694,Wesley,Matthews,SG,LAL,PHO,LAL@PHO,10:00PM EDT,10,10.0," "," "
nba.p.4894,Markieff,Morris,PF,LAL,PHO,LAL@PHO,10:00PM EDT,10,14.5," "," "
nba.p.5007,Anthony,Davis,PF,LAL,PHO,LAL@PHO,10:00PM EDT,44,42.8,GTD," "
nba.p.5015,Andre,Drummond,C,LAL,PHO,LAL@PHO,10:00PM EDT,20,35.8," "," "
nba.p.5158,Ben,McLemore,SG,LAL,PHO,LAL@PHO,10:00PM EDT,10,11.7," "," "
nba.p.5159,Kentavious,Caldwell-Pope,SG,LAL,PHO,LAL@PHO,10:00PM EDT,12,18.6,GTD," "
nba.p.5187,Dennis,Schroder,PG,LAL,PHO,LAL@PHO,10:00PM EDT,22,29.4," "," "
nba.p.5492,Montrezl,Harrell,C,LAL,PHO,LAL@PHO,10:00PM EDT,10,24.9," "," "
nba.p.5754,Alex,Caruso,PG,LAL,PHO,LAL@PHO,10:00PM EDT,10,16.8," "," "
nba.p.5840,Kyle,Kuzma,SF,LAL,PHO,LAL@PHO,10:00PM EDT,13,24.1," "," "
nba.p.5904,Alfonzo,McKinnie,PF,LAL,PHO,LAL@PHO,10:00PM EDT,10,5.4," "," "
nba.p.6071,Kostas,Antetokounmpo,SF,LAL,PHO,LAL@PHO,10:00PM EDT,10,2.9," "," "
nba.p.6234,Talen,Horton-Tucker,SF,LAL,PHO,LAL@PHO,10:00PM EDT,10,17.9," "," "
nba.p.6292,Devontae,Cacok,PF,LAL,PHO,LAL@PHO,10:00PM EDT,10,5.0," "," "
nba.p.3930,Chris,Paul,PG,PHO,LAL,LAL@PHO,10:00PM EDT,26,37.4,GTD," "
nba.p.4937,E'Twaun,Moore,SG,PHO,LAL,LAL@PHO,10:00PM EDT,10,10.3," "," "
nba.p.5068,Jae,Crowder,PF,PHO,LAL,LAL@PHO,10:00PM EDT,15,22.0," "," "
nba.p.5323,Dario,Saric,PF,PHO,LAL,LAL@PHO,10:00PM EDT,10,15.8," "," "
nba.p.5388,Langston,Galloway,SG,PHO,LAL,LAL@PHO,10:00PM EDT,10,7.3," "," "
nba.p.5469,Frank,Kaminsky,C,PHO,LAL,LAL@PHO,10:00PM EDT,10,14.9," "," "
nba.p.5473,Devin,Booker,SG,PHO,LAL,LAL@PHO,10:00PM EDT,32,36.9," "," "
nba.p.5474,Cameron,Payne,PG,PHO,LAL,LAL@PHO,10:00PM EDT,17,19.0," "," "
nba.p.5689,Abdel,Nader,SF,PHO,LAL,LAL@PHO,10:00PM EDT,10,12.5,INJ," "
nba.p.5893,Torrey,Craig,SF,PHO,LAL,LAL@PHO,10:00PM EDT,10,14.0," "," "
nba.p.5958,Deandre,Ayton,C,PHO,LAL,LAL@PHO,10:00PM EDT,29,33.4," "," "
nba.p.6021,Mikal,Bridges,SF,PHO,LAL,LAL@PHO,10:00PM EDT,19,26.3," "," "
nba.p.6043,Jevon,Carter,SG,PHO,LAL,LAL@PHO,10:00PM EDT,10,9.4," "," "
nba.p.6173,Cameron,Johnson,PF,PHO,LAL,LAL@PHO,10:00PM EDT,10,17.4," "," "
nba.p.6402,Jalen,Smith,PF,PHO,LAL,LAL@PHO,10:00PM EDT,10,4.2," "," "
nba.p.6455,Ty-Shon,Alexander,SG,PHO,LAL,LAL@PHO,10:00PM EDT,10,2.0," "," "
nba.p.3706,Carmelo,Anthony,PF,POR,DEN,POR@DEN,9:00PM EDT,10,21.9," "," "
nba.p.4899,Enes,Kanter,C,POR,DEN,POR@DEN,9:00PM EDT,10,27.3," "," "
nba.p.5012,Damian,Lillard,PG,POR,DEN,POR@DEN,9:00PM EDT,43,45.9," "," "
nba.p.5161,CJ,McCollum,SG,POR,DEN,POR@DEN,9:00PM EDT,30,37.5," "," "
nba.p.5253,Robert,Covington,PF,POR,DEN,POR@DEN,9:00PM EDT,17,25.8," "," "
nba.p.5327,Jusuf,Nurkic,C,POR,DEN,POR@DEN,9:00PM EDT,31,32.0," "," "
nba.p.5483,Rondae,Hollis-Jefferson,PF,POR,DEN,POR@DEN,9:00PM EDT,10,7.3," "," "
nba.p.5506,Norman,Powell,SF,POR,DEN,POR@DEN,9:00PM EDT,21,27.8," "," "
nba.p.5747,Derrick,Jones Jr.,SF,POR,DEN,POR@DEN,9:00PM EDT,10,16.0," "," "
nba.p.5823,Zach,Collins,PF,POR,DEN,POR@DEN,9:00PM EDT,10,17.0,INJ," "
nba.p.5831,TJ,Leaf,PF,POR,DEN,POR@DEN,9:00PM EDT,10,4.0," "," "
nba.p.5833,Harry,Giles III,C,POR,DEN,POR@DEN,9:00PM EDT,10,9.1," "," "
nba.p.6035,Anfernee,Simons,SG,POR,DEN,POR@DEN,9:00PM EDT,10,13.1," "," "
nba.p.6213,Nassir,Little,SF,POR,DEN,POR@DEN,9:00PM EDT,10,9.0," "," "
nba.p.6330,Keljin,Blevins,PG,POR,DEN,POR@DEN,9:00PM EDT,10,1.8," "," "
